"ISO3","Area","Country Group","type","Item","unit","value","cpc_group","isscaap","grouped"
"TUR","Türkiye","Western Asia","BRACKISHWATER","Crustaceans","Q_tlw",937,NA,NA,"yes"
"TUR","Türkiye","Western Asia","CAPTURE","Amphibians, Reptiles","Q_tlw",18489,NA,NA,"yes"
"TUR","Türkiye","Western Asia","CAPTURE","Aquatic invertebrates","Q_tlw",18890.8,NA,NA,"yes"
"TUR","Türkiye","Western Asia","CAPTURE","Crustaceans","Q_tlw",156162.6,NA,NA,"yes"
"TUR","Türkiye","Western Asia","CAPTURE","Fish","Q_tlw",13069315.333,NA,NA,"yes"
"TUR","Türkiye","Western Asia","CAPTURE","Mammals","Q_no_1",100,NA,NA,"yes"
"TUR","Türkiye","Western Asia","CAPTURE","Molluscs","Q_tlw",1231546.7,NA,NA,"yes"
"TUR","Türkiye","Western Asia","FRESHWATER","Amphibians, Reptiles","Q_tlw",385,NA,NA,"yes"
"TUR","Türkiye","Western Asia","FRESHWATER","Aquatic plants","Q_tlw",20,NA,NA,"yes"
"TUR","Türkiye","Western Asia","FRESHWATER","Fish","Q_tlw",2117757.5,NA,NA,"yes"
"TUR","Türkiye","Western Asia","MARINE","Crustaceans","Q_tlw",23,NA,NA,"yes"
"TUR","Türkiye","Western Asia","MARINE","Fish","Q_tlw",3092748.1,NA,NA,"yes"
"TUR","Türkiye","Western Asia","MARINE","Molluscs","Q_tlw",34076,NA,NA,"yes"
"TUR","Türkiye","Western Asia","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Shrimps, prawns","no"
"TUR","Türkiye","Western Asia","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Shrimps, prawns","no"
"TUR","Türkiye","Western Asia","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Shrimps, prawns","no"
"TUR","Türkiye","Western Asia","BRACKISHWATER","Crustaceans","Q_tlw",40,"Crustaceans","Shrimps, prawns","no"
"TUR","Türkiye","Western Asia","BRACKISHWATER","Crustaceans","Q_tlw",270,"Crustaceans","Shrimps, prawns","no"
"TUR","Türkiye","Western Asia","BRACKISHWATER","Crustaceans","Q_tlw",300,"Crustaceans","Shrimps, prawns","no"
"TUR","Türkiye","Western Asia","BRACKISHWATER","Crustaceans","Q_tlw",270,"Crustaceans","Shrimps, prawns","no"
"TUR","Türkiye","Western Asia","BRACKISHWATER","Crustaceans","Q_tlw",30,"Crustaceans","Shrimps, prawns","no"
"TUR","Türkiye","Western Asia","BRACKISHWATER","Crustaceans","Q_tlw",27,"Crustaceans","Shrimps, prawns","no"
"TUR","Türkiye","Western Asia","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Shrimps, prawns","no"
"TUR","Türkiye","Western Asia","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Shrimps, prawns","no"
"TUR","Türkiye","Western Asia","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Shrimps, prawns","no"
"TUR","Türkiye","Western Asia","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Shrimps, prawns","no"
"TUR","Türkiye","Western Asia","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Shrimps, prawns","no"
"TUR","Türkiye","Western Asia","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Shrimps, prawns","no"
"TUR","Türkiye","Western Asia","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Shrimps, prawns","no"
"TUR","Türkiye","Western Asia","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Shrimps, prawns","no"
"TUR","Türkiye","Western Asia","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Shrimps, prawns","no"
"TUR","Türkiye","Western Asia","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Shrimps, prawns","no"
"TUR","Türkiye","Western Asia","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Shrimps, prawns","no"
"TUR","Türkiye","Western Asia","BRACKISHWATER","Crustaceans","Q_tlw",0,"Crustaceans","Shrimps, prawns","no"
"TUR","Türkiye","Western Asia","CAPTURE","Amphibians, Reptiles","Q_tlw",648,"Not classified","Frogs and other amphibians","no"
"TUR","Türkiye","Western Asia","CAPTURE","Amphibians, Reptiles","Q_tlw",750,"Not classified","Frogs and other amphibians","no"
"TUR","Türkiye","Western Asia","CAPTURE","Amphibians, Reptiles","Q_tlw",851,"Not classified","Frogs and other amphibians","no"
"TUR","Türkiye","Western Asia","CAPTURE","Amphibians, Reptiles","Q_tlw",864,"Not classified","Frogs and other amphibians","no"
"TUR","Türkiye","Western Asia","CAPTURE","Amphibians, Reptiles","Q_tlw",740,"Not classified","Frogs and other amphibians","no"
"TUR","Türkiye","Western Asia","CAPTURE","Amphibians, Reptiles","Q_tlw",160,"Not classified","Frogs and other amphibians","no"
"TUR","Türkiye","Western Asia","CAPTURE","Amphibians, Reptiles","Q_tlw",100,"Not classified","Frogs and other amphibians","no"
"TUR","Türkiye","Western Asia","CAPTURE","Amphibians, Reptiles","Q_tlw",118,"Not classified","Frogs and other amphibians","no"
"TUR","Türkiye","Western Asia","CAPTURE","Amphibians, Reptiles","Q_tlw",77,"Not classified","Frogs and other amphibians","no"
"TUR","Türkiye","Western Asia","CAPTURE","Amphibians, Reptiles","Q_tlw",873,"Not classified","Frogs and other amphibians","no"
"TUR","Türkiye","Western Asia","CAPTURE","Amphibians, Reptiles","Q_tlw",898,"Not classified","Frogs and other amphibians","no"
"TUR","Türkiye","Western Asia","CAPTURE","Amphibians, Reptiles","Q_tlw",792,"Not classified","Frogs and other amphibians","no"
"TUR","Türkiye","Western Asia","CAPTURE","Amphibians, Reptiles","Q_tlw",803,"Not classified","Frogs and other amphibians","no"
"TUR","Türkiye","Western Asia","CAPTURE","Amphibians, Reptiles","Q_tlw",803,"Not classified","Frogs and other amphibians","no"
"TUR","Türkiye","Western Asia","CAPTURE","Amphibians, Reptiles","Q_tlw",833,"Not classified","Frogs and other amphibians","no"
"TUR","Türkiye","Western Asia","CAPTURE","Amphibians, Reptiles","Q_tlw",895,"Not classified","Frogs and other amphibians","no"
"TUR","Türkiye","Western Asia","CAPTURE","Amphibians, Reptiles","Q_tlw",668,"Not classified","Frogs and other amphibians","no"
"TUR","Türkiye","Western Asia","CAPTURE","Amphibians, Reptiles","Q_tlw",622,"Not classified","Frogs and other amphibians","no"
"TUR","Türkiye","Western Asia","CAPTURE","Amphibians, Reptiles","Q_tlw",780,"Not classified","Frogs and other amphibians","no"
"TUR","Türkiye","Western Asia","CAPTURE","Amphibians, Reptiles","Q_tlw",750,"Not classified","Frogs and other amphibians","no"
"TUR","Türkiye","Western Asia","CAPTURE","Amphibians, Reptiles","Q_tlw",648,"Not classified","Frogs and other amphibians","no"
"TUR","Türkiye","Western Asia","CAPTURE","Amphibians, Reptiles","Q_tlw",831,"Not classified","Frogs and other amphibians","no"
"TUR","Türkiye","Western Asia","CAPTURE","Amphibians, Reptiles","Q_tlw",742,"Not classified","Frogs and other amphibians","no"
"TUR","Türkiye","Western Asia","CAPTURE","Amphibians, Reptiles","Q_tlw",535,"Not classified","Frogs and other amphibians","no"
"TUR","Türkiye","Western Asia","CAPTURE","Amphibians, Reptiles","Q_tlw",486,"Not classified","Frogs and other amphibians","no"
"TUR","Türkiye","Western Asia","CAPTURE","Amphibians, Reptiles","Q_tlw",547,"Not classified","Frogs and other amphibians","no"
"TUR","Türkiye","Western Asia","CAPTURE","Amphibians, Reptiles","Q_tlw",487,"Not classified","Frogs and other amphibians","no"
"TUR","Türkiye","Western Asia","CAPTURE","Amphibians, Reptiles","Q_tlw",454,"Not classified","Frogs and other amphibians","no"
"TUR","Türkiye","Western Asia","CAPTURE","Amphibians, Reptiles","Q_tlw",290,"Not classified","Frogs and other amphibians","no"
"TUR","Türkiye","Western Asia","CAPTURE","Amphibians, Reptiles","Q_tlw",234,"Not classified","Frogs and other amphibians","no"
"TUR","Türkiye","Western Asia","CAPTURE","Amphibians, Reptiles","Q_tlw",210,"Not classified","Frogs and other amphibians","no"
"TUR","Türkiye","Western Asia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"TUR","Türkiye","Western Asia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"TUR","Türkiye","Western Asia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"TUR","Türkiye","Western Asia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"TUR","Türkiye","Western Asia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"TUR","Türkiye","Western Asia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"TUR","Türkiye","Western Asia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"TUR","Türkiye","Western Asia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"TUR","Türkiye","Western Asia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"TUR","Türkiye","Western Asia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"TUR","Türkiye","Western Asia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"TUR","Türkiye","Western Asia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"TUR","Türkiye","Western Asia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"TUR","Türkiye","Western Asia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"TUR","Türkiye","Western Asia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"TUR","Türkiye","Western Asia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"TUR","Türkiye","Western Asia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"TUR","Türkiye","Western Asia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"TUR","Türkiye","Western Asia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"TUR","Türkiye","Western Asia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
"TUR","Türkiye","Western Asia","CAPTURE","Amphibians, Reptiles","Q_tlw",0,"Not classified","Turtles","no"
